Name,Description
22. Soorarai Pottru,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks"
23. Madharasi,"Reeling from a breakup, a man with a tragic past becomes involved in an operation to stop the mass distribution of weapons."
24. Por Thozhil,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
25. Vaa Vaathiyaar,"A fanatic fan of legendary actor MGR raises his grandson like a reincarnation of MGR. But does he grow like MGR? What happens when he grows differently, which is in conflict with the ideals of his grandfather?"
26. 3BHK,A middle-class family battles financial hurdles and personal setbacks while pursuing their dream of owning a home in the bustling city.
27. Sweety Naughty Crazy,"A bold romantic comedy about Shiva, a charming college student juggling three different relationships. As he tries to keep them secret, love, lust, and chaos collide in a playful mix of adult humor, romance, and comedy."
28. Leo,Parthiban is a mild-mannered cafe owner who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.
29. Flashback,A young boy is shown to be attracted to an older woman.
30. Nayakan,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
31. Sabdham,A paranormal investigator is employed by a university to look into a series of mysterious deaths that some are attributing to supernatural causes.
32. Super Deluxe,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day."
33. Bison: Kaalamaadan,A young man fights to overcome violence plaguing his village and succeed as a professional kabaddi player.
34. Vada Chennai,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
35. Kadaisi Vivasayi,The last active farmer in a remote village tries to hold out against a property developer.
36. Others,"A detective investigates alarming health issues in IVF babies, revealing a dark plot involving illegal steroids, mystery donors, and corrupt fertility clinics - all orchestrated by someone exploiting people's desire for children."
37. Aaryan,"A struggling writer announces he'll commit the perfect crime, sparking a tense pursuit as police try to prevent his methodically planned killing spree."
38. Jana Nayagan,"Ideological enemies-one populist, one authoritarian-meet again when a child's fear awakens old conflicts, pulling an ex-cop into a struggle beyond vengeance."
39. Good Bad Ugly,"After several years in prison, a former gangster seeks a quiet life with his family. But when his son winds up in jail, he must return to his old ways."
40. Sarpatta Parambarai,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?"
41. Asuran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
42. Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
43. Parasakthi,"Based on true events, the film revolves around the Anti-Hindi Imposition agitations in Tamil Nadu that happened in 1965."
44. Thuppakki,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
45. Thittam Irandu,A cop starts investigating the mysterious disappearance of her childhood friend. Can she handle the revelation that lies at the end of her inquiry?
46. Retro,"Raised by a criminal father, Paari leaves behind his adoptive family to build a quiet life with his love, Rukmini. But his violent past won't let him go."
47. Stephen,"Delves into the mind of a confessed killer being evaluated by a psychiatrist on a chilling case. The psychiatrist soon finds herself entangled in a mind-twisting mystery, which begins as an evaluation but leads to eternal darkness"
48. Aaromaley,"A romantic dreamer faces reality when forced to work at a matchmaking agency under a practical boss. After learning love needs effort, he loses his chance. Years later, fate offers another opportunity."
49. Anbe Sivam,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
50. Amaran,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
51. Anniyan,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements."
52. Seyon,A veteran soldier turned activist arrives at a station during the Maasi Kalari Festival. Villagers revere him as a living god at the Virumandi Temple in Karumathur.
53. Master,"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities."
54. Dada,"A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life."
55. Dragon,"After a devastating breakup, troubled student Ragavan abandons his studies and enters the dangerous world of financial fraud, pursuing wealth and power while becoming entangled in escalating deception."
56. Aaranya Kaandam,A mob boss must deal with a disgruntled mistress and a vanishing bag of cocaine.
57. Aazhi,"In Nagercoil, a devoted father struggles when he learns of his daughter's relationship. A solitary sea journey becomes a moment of reflection, where love, responsibility, and acceptance quietly reshape their family bonds."
58. Maareesan,"In an unusual situation , Velayudham sets out on a journey with Dhaya from Nagercoil to Tiruvannamalai-a journey that will alter both their lives in ways they never imagined. What unfolds becomes the heart of the story."
59. Maargan,"Cop Dhruv from Mumbai police hunts a serial killer targeting young girls with a burning drug. While investigating their suspect, the police discover they're facing someone far more dangerous than expected."
60. Vaaranam Aayiram,"A father and son help each other through growing up, romance, tragedy, and adventure."
61. Saani Kaayidham,"A generational curse, comes true in a senseless act of injustice to Ponni and her family. Driven to seek vengeance by Sangaiya, with whom she shares a bitter past."
62. Ponniyin Selvan: Part I,"Vandiyathevan crosses the Chola land to deliver a message from the Crown Prince Aditha Karikalan, while Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne."
63. X Videos,"A journalist investigates how private content gets leaked to adult sites, leading his friend to suicide when his wife's video is exposed."
64. Lucky the Superstar,"A stray puppy's adventure transforms lives: helping a child heal, bringing a family together, and causing political mayhem while finding her way home."
65. Middle Class,"Karl Marx dreams of owning a farm while living a routine life with his vocal wife and kids. When his chance finally arrives, pressure and chaos send him on a desperate rush to transform his future."
66. Mask,"440 crores stolen. Seven days to get it back. A game of greed, betrayal and intrigue culminates into an explosive climax in this story of a greedy man, a conniving woman and an uncanny guy with a bag full of tricks."
67. LIK: Love Insurance Kompany,"In a world bound by technology, someone searches for authentic love. Their struggle could restore humanity's natural spirit."
68. Retta Thala,A case of mistaken identity leads to violent consequences.
69. Paranthu Po,A stubborn schoolboy and his caring but financially struggling father leave city stress behind on a road trip together.
70. Theri,"When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces."
71. Jigarthanda Double X,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor."
73. Ghajini,"Sanjay Ramaswamy, who is suffering from short-term memory loss, sets out on a quest to find and eliminate the people responsible for his ladylove Kalpana's murder."
74. Idly Kadai,"A rural man moves to Dubai pursuing dreams and work. After disaster strikes, he returns home, discovering his village's worth and fighting to fulfill his father's wishes despite challenges."
75. Jailer,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
76. Rolex,"A standalone film featuring Suriya's character Rolex, introduced in Vikram, follows the Lokesh Cinematic Universe after Kaithi, Vikram, Leo, Benz and Kaithi 2"
77. Apoorva Sagodharargal,"Appu and Raja are twins who were separated at birth, grow up in different localities. Appu's quest for revenge begins upon learning that his father was killed by four criminals."
78. Theeran Adhigaram Ondru,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
79. VidaaMuyarchi,"A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles."
80. Kiss,"A street musician discovers he can glimpse couples' romantic futures when they kiss. After witnessing a vision about his own love interest, he must race against fate to change what seems destined."
81. DNA,"A new mom with BPD believes her baby was switched after birth. While others doubt her, her reformed addict husband races to find their real child before time runs out."
82. Thiruchitrambalam,"Thiruchitrambalam lives with his father and grandfather. He blames the former for the loss of his mother and sister and is not on good terms with the latter. Meanwhile, his love life is not so successful."
83. Ghilli,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will."
84. Bad Girl,"From her journey through high school and college, then out into the wider world, Ramya's dream of finding the perfect guy is obstructed by societal mores, strict parents, unrequited love and the untrammelled chaos of her own mind."
85. Kudumbasthan,"A lower-middle-class man faces mounting debts and family tensions after losing his job. With a pregnant wife and disapproving in-laws, he must overcome financial struggles and personal conflicts while trying to rebuild his life."
86. Thiru.Manickam,"A man who is getting chased by everyone for doing good, yet he overcomes opposition. Among everyone who is trying to survive, this man wants to live. Shows how Manikkam becomes Thiru Manikkam"
87. Soodhu Kavvum,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case."
88. Youth,"15-year-old Praveen enters adolescence determined to find true love before school ends. Through relationships and heartbreaks, he discovers love's real meaning, shaping his maturity and outlook on life."
89. Fourth Floor,"Summoned to Chennai by his ex-lover, Dheeren stays at an isolated guest house where disturbing events and vivid dreams plague him. As reality blurs, he discovers the visions reveal secrets about his past and her fate."
90. Enthiran,"A brilliant scientist creates a humanoid robot to protect mankind, but things go awry when human emotions are programmed and inner turmoil causes the robot to switch sides."
91. Cadaver,A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?
92. Kaththi,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.
93. Ace,"Kannan seeks a new life in a foreign country but gets dragged into a shark circle. A daring heist turns their hope into a curse, forcing him to outsmart fate itself."
94. Ram Abdullah Antony,Three childhood friends who veer off course growing up attempt to bring their lives back on track when their error escalates beyond their grasp.
95. Iruttu Araiyil Murattu Kuthu,A sexually-starved spirit traps two couples in a bungalow in Bangkok where they have planned to stay for a week. The spirit wants one of the two men to have sex with her. Can they manage to escape?
96. Alai Payuthey,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be."
97. Magalir Mattum,"Three female employees are fed up with their lecherous boss, and they come up with a plan to get even. Unfortunately, he ends up in the hospital and they are stuck with the dead body of a terrorist."
98. Viduthalai: Part 1,A police officer is recruited to capture the leader of a separatist group.
99. Bomb,Revolves around the people of the land and the immense capacity of humanity to stick together through anything.
100. Lockdown,"During a national emergency, Anita finds herself isolated at home while facing personal challenges. As she adapts to the new reality, an unexpected situation tests her resilience and changes her perspective on life."
101. Thanal,A painful situation that makes one person a hero and another one a villain.
102. Virumandi,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.
103. Kadhal Kadhai Sollava,"Lovers of all ages eagerly share their heartbreak stories on his radio show, which becomes an instant hit. A young woman named Asha calls to tell her love story."
105. Kannathil Muthamittal,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists."
106. Ayirathil Oruvan,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty."
107. Hey Ram,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.
108. Pudhu Pettai,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld."
109. Dheepan,Dheepan is a Sri Lankan Tamil warrior who flees to France and ends up working as a caretaker outside Paris.
110. Kanguva,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a bounty hunter's perilous quest in the present.
111. Mounam Pesiyadhe,A man's attitude towards women and love starts to change after he develops feelings for a woman.
112. Pizza,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
113. Rayar Parambarai,Rayar Parambarai is a Tamil Movie. It belongs to the genre romantic comedy.
114. Jagame Thandhiram,"A nomadic gangster finds himself caught between good and evil in a fight for a place to call home. Starring Dhanush, Aishwarya Lekshmi and James Cosmo."
115. Asvins,A group of Youtubers who accidentally unleash a 1500-year-old evil that crosses over from the realm of darkness to the human world.
116. Dhuruvangal Pathinaaru,"A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son."
117. Paruthiveeran,"A village tough finally succumbs to the unconditional love of his angelic cousin, but his romance faces insurmountable challenges, including family opposition and his own delinquent personality."
118. Mustafa Mustafa,"A fast-paced comedy of errors about friendship, panic, and the modern nightmare of digital secrets going viral."
119. Kuruthipunal,"Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network."
120. Mouna Ragam,"Divya, a woman grieving over the death of her lover, is convinced into an arranged marriage with Chandra Kumar. Over a year the couple attempt to adjust to each other's presence and live with each other."
121. Kombuseevi,Two men with explosive expertise and dangerous histories dedicate themselves to protecting their village.
122. Pookie,"He struggles to tell her he wants to separate. When he finally does, she shares the same thoughts. Suddenly realizing he doesn't want to lose her, they reconcile though both still privately consider breaking up."
123. Joe,"The emotional journey of a young man navigating the depths of love, heartbreak and hope."
124. The Greatest of All Time,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past."
125. Maya,"A woman takes on the challenge of watching a horror film, alone in a theatre."
126. House Mates,"Newly married Karthik and Anu buys an old apartment and starts their life, soon they start witnessing strange things happening in the house and and they think it is an act of ghost, but soon they find the shocking truth."
127. Naduvula Konjam Pakkatha Kaanom,"A young man forgets a few years of his life, even as he is about to get married."
128. Pithamagan,"Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony existence."
129. Subramaniapuram,"Azhagar and his friend Paraman kill the person who humiliated Kanugu's brother and surrenders themselves to the police. However, they soon learn that Kanugu has betrayed them."
130. Iraivi,A drama about an alcoholic filmmaker and his friends who bring trouble to the women in their lives.
131. Friends,"Three friends, who value friendship over everything else, begin to fall apart when one of them learns about a shocking incident that happened in their past."
132. Eeram,"Vasu investigates the suicide of Ramya since he's not convinced that she killed herself. The main suspects are her husband and neighbors. As the death toll rises, Vasu deals with his own secret past."
133. Shahjahan,"Ashok is the guy people turn to for love advice. He helps Raja succeed in wooing the girl he loves, only to realise later that the she is none other than Uma, the girl he himself is in love with."
134. My Lord,"A man and his wife battle bureaucracy after being wrongly declared dead, while he confronts a kidney trafficking ring connected to corrupt politicians that destroyed his life."
135. Nilaave Vaa,"Siluvai, a Christian boy, falls in love with Sangeetha, a Hindu girl who is engaged to Raghuvaran. Her father doesn't want to accept the Hindu-Christian marriage, but Raghuvaran decides to unite them."
136. Imsai Arasan 23rd Pulikecei,Historical Comedy about a Dravidian Ruler and his family.
137. Kaaviya Thalaivan,Two theater artists compete in a small drama troupe.
138. Accused,Explores the idea that not everyone accused of a crime is guilty. Delves into how even good people can be affected by the errors in the system and turn gangsters.
139. Por,"Journey that delves deep into the complexities of friendship. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition."
140. Thadayam Mudhal Adhyayam,"Detective Mathivaanan finds one crime scene particularly compelling, connecting it to similar murders in town. His investigation takes a psychological toll before he confronts the perpetrator in a battle of wits."
141. Veera Dheera Sooran: Part 2,"Kaali, a provision store owner and a loving husband and father, whose involvement in a dangerous crime network and his mysterious mission forms the rest of the story."
142. Mahasenha,"A mystical thriller in Kurangani's hills centers on a sacred Yaali sculpture revered by tribes. As conflict builds over its divine protective powers, faith emerges as both belief and shield."
143. Angammal,"In a Tamil Nadu village, a man struggles to accept his blouseless mother's traditional attire, leading to complications before his in-laws' visit"
144. My Dear Dolly,"Boss Karthik and subordinate Sumithra fake a marriage to satisfy family, planning to separate in six months. After a fight, she leaves permanently. Karthik copes with a mannequin of her, until Sumithra learns of his obsession."
145. Thug Life,"Gang leader Sakthivel adopts Amaran after saving him during a gang war. Years later, Sakthivel survives an assassination attempt and suspects Amaran's involvement, leading to a conflict of loyalty and revenge."
146. Cobra,"A mathematician genius, Mathi, has another identity, Cobra, who commits intelligent crimes using maths."
147. Ondimuniyum Nallapaadanum,"A poor low-caste farmer wants to sacrifice his goat to deity Ondimuni for saving his son, but temple festivities are suspended due to upper-caste feuding. Can he fulfill his vow?"
148. Oh My Ghost,"When a single woman and her two friends reach a small town, they begin to discover their connection to a ghost and the secret legacy their grandfather left behind."
149. Thadam,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.
150. Hey Sinamika,"The lives of Mouna, a weather scientist who falls in love with Yaazhan, a quirky and loving guy. What happens to their relationship after a couple of years and how things take an unexpected turn after the arrival of Malarvizhi?"
151. Love Today,"Two young lovers, who are made to exchange their phones for a day and what happens due to that."
152. Meesaya Murukku 2,"The continuation of Hiphop Tamizha Adhi's semi-biopic Meesaya murukku (2017), which consists of the journey of starting his own band called ""Hip-Hop Tamizha."""
153. 2BHK -Bala palaniyappan,"A group of friends trapped in different time zone ( normal time 1sec equal to 1hour on trapped time) that place somebody killing their friends, finally they are all escape or not?"
154. Lover,"Arun and Divya's six-year relationship starts unraveling as they drift apart, raising the question of whether love can withstand such differences."
155. Thalaivan Thalaivii,"Two headstrong lovers navigate a turbulent relationship where passion and conflict intertwine, creating an intense emotional bond through their shared journey."
156. Varisu,"Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire."
157. Pariyerum Perumal,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
158. Oho Enthan Baby,"After Meera discovers his issues and leaves, filmmaker Ashwin channels his pain into a movie script. While pitching it, he questions if he wants this ending for his real story."
160. Revolver Rita,Rita's peaceful Pondicherry existence shatters when her family gets caught in gang violence. She must use her wits and bravery to protect them from dangerous criminals.
162. Visaaranai,Four labourers are tortured by the police to confess to a theft they have not committed.
163. 24,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
164. Chithha,"A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing."
165. Once More,"A love story unfolds between two individuals from different families, social circles, and emotional worlds. What will happen when their families come together and their two worlds collide?"
166. Anaagarigam,"Married professor misbehave with his student, Professor wife was misbehaved by a sales man, and a professor wife's friend was misbehaved with the professor."
167. Kutram Thavir,"After losing his sister to medical insurance fraud, Rudra discovers a dark web of corruption targeting vulnerable citizens. His quest for answers leads him down a dangerous path of revenge and justice."
168. Moonwalk,"A vibrant Tamil musical entertainer following the journey of close friends who celebrate life through music and dance. Starring Prabhu Deva and A.R. Rahman, the film is slated for a Summer 2026 release."
169. Aan Paavam Pollathathu,"A middle-class husband struggles to accept his wife's modern, progressive attitudes, creating tension in their marriage."
170. Romeo,"A husband tries to win the love of his wife, who marries him because of familial obligation."
171. Chuda Chuda,"A psychopathic serial killer and a School girl. The serial killer gets the taste of his own medicine, when he tries to sexually assault and kill the school girl."
172. Yamakaathaghi,"A young girl's spirit lingers at a rural funeral home, unwilling to depart. Her mysterious death sparks an unsettling supernatural investigation."
173. Mersal,"A police officer arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic."
174. Maanaadu,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop."
175. Maaman,An uncle and nephew navigate their strained bond and family dynamics through challenging circumstances that test their connection.
176. Kaa: The Forest,"Cold-blooded killer Victor Mahadev and his gang chase two boys into a dense forest. Wildlife photographer Venba Subbaiya gets caught in their deadly pursuit. Deep in the wilderness, they fight brutally to survive until dawn."
177. Pechi,Revolves around age-old practices such as black magic and witchcraft.
180. Bigil,"Michael gives up his dream of becoming a footballer after his father's murder. However, a friend convinces him to coach a women's football team and turn his life around."
181. 3,"Ram and Janani are high school sweethearts who eventually get married. However, Janani is mystified when Ram commits suicide all of a sudden and she tries to find out the truth behind his death."
182. Gargi,The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.
183. Arasan,A story that is set in and consists of the following/parallel events in the world of director Vetrimaaran's Vada Chennai (2018).
184. Hero Friend-U,"A man takes desperate measures to escape the ""friend-zone"" of the girl he likes."
185. Beast,A jaded former intelligence agent is pulled back into action when an attack at a mall creates a tense hostage situation.
186. Iraivan,"A city lives in fear of a psychotic killer, and confidence in the police wanes. Arjun and Andrew finally arrest the killer, but he escapes and chaos reigns again."
188. Thani Oruvan,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
189. Doctor,"When his fiancee's niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits."
190. Irandam Kuththu,"Two friends embark on a trip to Bangkok with their wives, Things take a precarious turn when a ghost demands awkward returns from the men."
192. Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
193. Nilavuku Enmel Ennadi Kobam,"A young man on the rebound from a broken relationship accepts his parents' choice of a bride, only for his first-love to reconnect with him."
194. Karnan,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer."
195. Resurrection,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
196. Kadhalikka Neramillai,"A young woman desires a perfect life of love and children, but falling for a man who has no interest in marriage or a family makes her search difficult."
197. Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
198. Raayan,"A series of unfortunate events lead Raayan, a simple man to be dragged into the dreaded world of crime and manipulation."
199. Kuttram Pudhithu,The murder of a police officer's daughter by a delivery man spirals into supernatural territory when she mysteriously reappears alive after five days.
200. Thalapathi,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
201. Shanthi Appuram Nithya,An erotic movie that depicts how innocent women fall for bad boys and how those men treat them without any courtesy.
202. Vengeance,"A young woman with a mysterious past is driven by unrelenting purpose, transforming into someone who will cross any boundary to fulfill her mission. Each obstacle sharpens her resolve, pulling her deeper into a ruthless path."
203. Aval,"A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours."
204. Kannum Kannum Kollaiyadithaal,Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams - until a deceitful discovery throws their world for a loop.
205. Shakthi Thirumagan,"A bold fighter of the people challenges a merciless titan, sparking a wave of justice, uprising, and vengeance."
206. Kaakaa,"A rough Madurai man, an educated Thiruchchi man, and a curious Chennai man compete for the love of three sisters-two elder and one younger."
207. Tamil Rockers,Four Major characters running for the Money facing more challenges by forgetting the same fact !!.
208. Natpe Thunai,An international hockey player who has chosen to leave the sport picks it up again to save the ground of a local team.
