Name,Year,Stars,Description
63. X Videos,N/A,,"A journalist investigates how private content gets leaked to adult sites, leading his friend to suicide when his wife's video is exposed."
64. Lucky the Superstar,N/A,,"A stray puppy's adventure transforms lives: helping a child heal, bringing a family together, and causing political mayhem while finding her way home."
65. Middle Class,N/A,,"Karl Marx dreams of owning a farm while living a routine life with his vocal wife and kids. When his chance finally arrives, pressure and chaos send him on a desperate rush to transform his future."
66. Mask,N/A,,"440 crores stolen. Seven days to get it back. A game of greed, betrayal and intrigue culminates into an explosive climax in this story of a greedy man, a conniving woman and an uncanny guy with a bag full of tricks."
67. LIK: Love Insurance Kompany,N/A,,"In a world bound by technology, someone searches for authentic love. Their struggle could restore humanity's natural spirit."
68. Retta Thala,N/A,,A case of mistaken identity leads to violent consequences.
69. Paranthu Po,N/A,,A stubborn schoolboy and his caring but financially struggling father leave city stress behind on a road trip together.
70. Theri,N/A,,"When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces."
71. Jigarthanda Double X,N/A,,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor."
72. Jailer 2,N/A,,No description available.
73. Ghajini,N/A,,"Sanjay Ramaswamy, who is suffering from short-term memory loss, sets out on a quest to find and eliminate the people responsible for his ladylove Kalpana's murder."
74. Idly Kadai,N/A,,"A rural man moves to Dubai pursuing dreams and work. After disaster strikes, he returns home, discovering his village's worth and fighting to fulfill his father's wishes despite challenges."
75. Jailer,N/A,,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
76. Rolex,N/A,,"A standalone film featuring Suriya's character Rolex, introduced in Vikram, follows the Lokesh Cinematic Universe after Kaithi, Vikram, Leo, Benz and Kaithi 2"
77. Apoorva Sagodharargal,N/A,,"Appu and Raja are twins who were separated at birth, grow up in different localities. Appu's quest for revenge begins upon learning that his father was killed by four criminals."
78. Theeran Adhigaram Ondru,N/A,,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
79. VidaaMuyarchi,N/A,,"A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles."
80. Kiss,N/A,,"A street musician discovers he can glimpse couples' romantic futures when they kiss. After witnessing a vision about his own love interest, he must race against fate to change what seems destined."
81. DNA,N/A,,"A new mom with BPD believes her baby was switched after birth. While others doubt her, her reformed addict husband races to find their real child before time runs out."
82. Thiruchitrambalam,N/A,,"Thiruchitrambalam lives with his father and grandfather. He blames the former for the loss of his mother and sister and is not on good terms with the latter. Meanwhile, his love life is not so successful."
83. Ghilli,N/A,,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will."
84. Bad Girl,N/A,,"From her journey through high school and college, then out into the wider world, Ramya's dream of finding the perfect guy is obstructed by societal mores, strict parents, unrequited love and the untrammelled chaos of her own mind."
85. Kudumbasthan,N/A,,"A lower-middle-class man faces mounting debts and family tensions after losing his job. With a pregnant wife and disapproving in-laws, he must overcome financial struggles and personal conflicts while trying to rebuild his life."
86. Thiru.Manickam,N/A,,"A man who is getting chased by everyone for doing good, yet he overcomes opposition. Among everyone who is trying to survive, this man wants to live. Shows how Manikkam becomes Thiru Manikkam"
87. Soodhu Kavvum,N/A,,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case."
88. Youth,N/A,,"15-year-old Praveen enters adolescence determined to find true love before school ends. Through relationships and heartbreaks, he discovers love's real meaning, shaping his maturity and outlook on life."
89. Fourth Floor,N/A,,"Summoned to Chennai by his ex-lover, Dheeren stays at an isolated guest house where disturbing events and vivid dreams plague him. As reality blurs, he discovers the visions reveal secrets about his past and her fate."
90. Enthiran,N/A,,"A brilliant scientist creates a humanoid robot to protect mankind, but things go awry when human emotions are programmed and inner turmoil causes the robot to switch sides."
91. Cadaver,N/A,,A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?
92. Kaththi,N/A,,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.
93. Ace,N/A,,"Kannan seeks a new life in a foreign country but gets dragged into a shark circle. A daring heist turns their hope into a curse, forcing him to outsmart fate itself."
94. Ram Abdullah Antony,N/A,,Three childhood friends who veer off course growing up attempt to bring their lives back on track when their error escalates beyond their grasp.
95. Iruttu Araiyil Murattu Kuthu,N/A,,A sexually-starved spirit traps two couples in a bungalow in Bangkok where they have planned to stay for a week. The spirit wants one of the two men to have sex with her. Can they manage to escape?
96. Alai Payuthey,N/A,,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be."
97. Magalir Mattum,N/A,,"Three female employees are fed up with their lecherous boss, and they come up with a plan to get even. Unfortunately, he ends up in the hospital and they are stuck with the dead body of a terrorist."
98. Viduthalai: Part 1,N/A,,A police officer is recruited to capture the leader of a separatist group.
99. Bomb,N/A,,Revolves around the people of the land and the immense capacity of humanity to stick together through anything.
100. Lockdown,N/A,,"During a national emergency, Anita finds herself isolated at home while facing personal challenges. As she adapts to the new reality, an unexpected situation tests her resilience and changes her perspective on life."
